100	0.000012
200	0.000019
300	0.000031
400	0.000040
500	0.000052
600	0.000065
700	0.000074
800	0.000084
900	0.000098
1000	0.000110
1100	0.000122
1200	0.000134
1300	0.000146
1400	0.000158
1500	0.000172
1600	0.000183
1700	0.000199
1800	0.000211
1900	0.000225
2000	0.000238
2100	0.000253
2200	0.000267
2300	0.000277
2400	0.000292
2500	0.000305
2600	0.000316
2700	0.000332
2800	0.000361
2900	0.000358
3000	0.000383
3100	0.000450
3200	0.000464
3300	0.000475
3400	0.000427
3500	0.000412
3600	0.000417
3700	0.000434
3800	0.000447
3900	0.000459
4000	0.000508
4100	0.000548
4200	0.000575
4300	0.000516
4400	0.000526
4500	0.000528
4600	0.000554
4700	0.000552
4800	0.000553
4900	0.000551
5000	0.000561
5100	0.000598
5200	0.000624
5300	0.000615
5400	0.000593
5500	0.000589
5600	0.000602
5700	0.000613
5800	0.000621
5900	0.000633
6000	0.000645
6100	0.000657
6200	0.000691
6300	0.000702
6400	0.000694
6500	0.000705
6600	0.000684
6700	0.000694
6800	0.000709
6900	0.000717
7000	0.000755
7100	0.000747
7200	0.000749
7300	0.000741
7400	0.000780
7500	0.000805
7600	0.000767
7700	0.000781
7800	0.000791
7900	0.000801
8000	0.000792
8100	0.000791
8200	0.000802
8300	0.000818
8400	0.000825
8500	0.000837
8600	0.000852
8700	0.000836
8800	0.000844
8900	0.000854
9000	0.000862
9100	0.000888
9200	0.000888
9300	0.000983
9400	0.000902
9500	0.000882
9600	0.000893
9700	0.000931
9800	0.000914
9900	0.000925
